instance_id,recipe,session,video_id,narration_id,node,node_label,verb_category,start_s,end_s,duration_s,aligned_position,step_segment,prev,next,gap_after_s,node_recurs_in_sessions,is_recurring,narration
P01_R01|Session1|31,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-82,lift containers,lift lid,retrieve,143.4,144.8,1.4,0.6797,5,tilt milk frother,one-off,0.1,2,1,"using the left hand, lift the lid of the box of wooden stirrers using the left hand while holding the cover. Pick up one wooden stirrer from inside the box using the left hand as well."
P01_R01|Session1|32,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-83,,,transition,144.9,145.2,0.3,0.7051,5,lift lid,stir coffee,0.1,1,0,Move the wooden stirrer from the left hand to the right hand.
P01_R01|Session1|33,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-84,mix drinks,stir coffee,merge,145.3,147.1,1.8,0.7128,5,one-off,stir coffee,-0.1,3,1,"Using the wooden stirrer, stir the coffee and the frothed milk in the mug using the right hand rotating clockwise. The left hand is holding the mug to steady it while the coffee and the milk froth are being stirred."
P01_R01|Session1|34,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-85,mix drinks,stir coffee,merge,147.0,149.8,2.8,0.7439,5,stir coffee,one-off,0.1,3,1,Now stir the coffee and the milk frothing using the wooden stirrer but stirring a counter-clockwise.
P01_R01|Session1|35,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-86,,,retrieve,149.9,150.8,0.9,0.795,5,stir coffee,shake stirrer,-0.1,1,0,Do one final stirring clockwise and then remove the wooden stirrer from the mug.
P01_R01|Session1|36,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-87,shake cutlery,shake stirrer,manipulate,150.7,151.6,0.9,0.8107,5,one-off,open milk bottle,1.5,2,1,Shake the wooden stirrer using the right hand to get rid of any excess liquid on it.
P01_R01|Session1|37,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-88,open containers,open milk bottle,access,153.1,153.4,0.3,0.8959,6,shake stirrer,throw away stirrer,0.2,3,1,"using the right hand, open the lid of the trash bin."
P01_R01|Session1|38,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-89,throw cutlery,throw away stirrer,leave,153.6,154.0,0.4,0.9241,6,open milk bottle,close bin,0.1,3,1,throw the wooden stirrer which is in the right hand inside the bin.
P01_R01|Session1|39,P01_R01,Session 1,P01-20240202-110250,P01-20240202-110250-90,close rubbish,close bin,block,154.1,154.3,0.2,0.948,6,throw away stirrer,,,3,1,"Close the cover of the trash bin using the right hand. This action occurs off screen, but we can hear it."
P01_R01|Session2|0,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-1,put crockery,put down mug,leave,7.7,8.5,0.8,0.0277,1,,one-off,2.1,3,1,put the empty plate on the countertop next to the sink
P01_R01|Session2|1,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-2,,,sense,10.6,11.1,0.5,0.0377,1,put down mug,lift handle,1.3,1,0,"Touch the handle of the cupboard and attempt to open it, pulling it only marginally, then decide not to open the cupboard and release the handle. You can hear the sound of a partial closing."
P01_R01|Session2|2,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-3,lift cookware,lift handle,retrieve,12.4,13.2,0.8,0.0443,1,one-off,pick up mug,0.1,2,1,lift the pot from the drainer holding it with the left hand
P01_R01|Session2|3,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-4,take crockery,pick up mug,retrieve,13.3,14.1,0.8,0.0475,1,lift handle,one-off,-0.2,3,1,Pick a mug from the drainer that is under the pot using the right hand holding it from its handle.
P01_R01|Session2|4,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-5,,,leave,13.9,14.8,0.9,0.0497,1,pick up mug,turn mug,0.2,1,0,return the pot to the drainer.
P01_R01|Session2|5,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-6,turn crockery,turn mug,manipulate,15.0,16.2,1.2,0.0534,1,one-off,one-off,1.6,2,1,turn the mug to be upright
P01_R01|Session2|6,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-7,,,retrieve,17.8,18.3,0.5,0.0637,1,turn mug,put down mug,0.0,1,0,lift the shelf of the coffee machine using the left hand
P01_R01|Session2|7,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-8,put crockery,put down mug,leave,18.3,18.5,0.2,0.0653,1,one-off,press button,0.5,3,1,Put the mug under the coffee machine's nozzle.
P01_R01|Session2|8,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-9,press appliances,press button,manipulate,19.0,19.3,0.3,0.0678,1,put down mug,lift lid,0.1,2,1,press the button on the coffee machine to start the machine
P01_R01|Session2|9,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-10,lift containers,lift lid,retrieve,19.4,22.0,2.6,0.0692,1,press button,one-off,0.8,2,1,lift the lid off the water tank of the coffee machine then pick up the water tank separating it from the coffee machine using the right hand
P01_R01|Session2|10,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-11,,,manipulate,22.8,23.6,0.8,0.0816,1,lift lid,pick up mug,0.0,1,0,Hold the water tank with the left hand.
P01_R01|Session2|11,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-12,take crockery,pick up mug,retrieve,23.6,24.5,0.9,0.0844,1,one-off,one-off,0.1,3,1,pick up the water filter jug from the countertop
P01_R01|Session2|12,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-13,,,merge,24.6,26.8,2.2,0.088,1,pick up mug,put down mug,-0.1,1,0,"pour water from the water filter jug into the water tank of the coffee machine by holding the water tank with the left hand, the water filter jug with the right hand, tilting the jug to pour water into the tank."
P01_R01|Session2|13,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-14,put crockery,put down mug,leave,26.7,27.9,1.2,0.0953,1,one-off,close lid,0.1,3,1,"put down the water filter jug on the counter top, this action is off screen"
P01_R01|Session2|14,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-15,close containers,close lid,block,28.0,29.2,1.2,0.0999,1,put down mug,insert coffee pod,0.0,2,1,close the lid of the water tank while carrying it
P01_R01|Session2|15,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-16,put drinks,insert coffee pod,leave,29.2,32.2,3.0,0.1045,1,close lid,pick up milk bottle,0.2,2,1,"Put the water tank back on its base on the back of the coffee machine, having filled it with water, so it's ready to be used for coffee."
P01_R01|Session2|16,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-17,take containers,pick up milk bottle,retrieve,32.4,36.8,4.4,0.1157,1,insert coffee pod,put down milk bottle,0.1,3,1,Pick up a box of coffee capsules from the shelf under the countertop using the right hand.
P01_R01|Session2|17,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-18,put containers,put down milk bottle,leave,36.9,38.4,1.5,0.1317,1,pick up milk bottle,open milk bottle,0.1,3,1,Put the box on the counter top.
P01_R01|Session2|18,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-19,open containers,open milk bottle,access,38.5,43.7,5.2,0.1374,1,put down milk bottle,pick up coffee pod,0.1,3,1,open the box by unfolding its cover.
P01_R01|Session2|19,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-20,take drinks,pick up coffee pod,retrieve,43.8,45.6,1.8,0.1563,1,open milk bottle,open compartment,0.0,3,1,Pick up a coffee capsule from the box.
P01_R01|Session2|20,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-21,open furniture,open compartment,access,45.6,46.1,0.5,0.1629,1,pick up coffee pod,insert coffee pod,0.0,2,1,Open the coffee machine's compartment by lifting the handle up using the left hand.
P01_R01|Session2|21,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-22,put drinks,insert coffee pod,leave,46.1,46.7,0.6,0.1648,1,open compartment,close fridge,0.1,2,1,Put the coffee capsule into the coffee machine.
P01_R01|Session2|22,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-23,close appliances,close fridge,block,46.8,47.3,0.5,0.1672,2,insert coffee pod,open fridge,2.5,3,1,close the coffee machine by pulling the handle down locking the capsule in place and closing the compartment of coffee capsules
P01_R01|Session2|23,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-24,open appliances,open fridge,access,49.8,50.6,0.8,0.1753,2,close fridge,pick up milk bottle,0.3,3,1,open the fridge
P01_R01|Session2|24,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-25,take containers,pick up milk bottle,retrieve,50.9,51.6,0.7,0.1781,2,open fridge,pick up milk bottle,1.7,3,1,Pick up the milk bottle.
P01_R01|Session2|25,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-26,take containers,pick up milk bottle,retrieve,53.3,55.3,2.0,0.1848,2,pick up milk bottle,one-off,-0.7,3,1,pick the can of yeast from the upper shelf of the door of the fridge to check its expiry date
P01_R01|Session2|26,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-27,,,manipulate,54.6,56.0,1.4,0.1884,2,pick up milk bottle,one-off,0.1,1,0,"Rotate the can of yeast in the right hand around, manipulating it to rotate it in one hand, in order to check where the expiry date is."
P01_R01|Session2|27,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-28,,,monitor,56.1,56.8,0.7,0.1924,2,one-off,one-off,0.2,1,0,Look at the bottom of the can of yeast to read the expiry date.
P01_R01|Session2|28,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-29,,,monitor,57.0,63.7,6.7,0.1946,2,one-off,close fridge,0.8,1,0,Read the expiry date moving the can a little to get a better reflection of the light to read the date clearly.
P01_R01|Session2|29,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-30,close appliances,close fridge,block,64.5,66.5,2.0,0.2152,2,one-off,one-off,1.2,3,1,close the fridge
P01_R01|Session2|30,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-31,,,access,67.7,68.0,0.3,0.2237,2,close fridge,one-off,0.1,1,0,Open the trash bin. The can of yeast has expired so it should be discarded.
P01_R01|Session2|31,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-32,,,leave,68.1,68.4,0.3,0.2248,2,one-off,close bin,-0.2,1,0,throw the can in the trash bin
P01_R01|Session2|32,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-33,close rubbish,close bin,block,68.2,68.4,0.2,0.225,2,one-off,lift lid,1.9,3,1,close the trash bin this action is off screen
P01_R01|Session2|33,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-34,lift containers,lift lid,retrieve,70.3,70.9,0.6,0.2308,2,close bin,put down milk bottle,0.1,2,1,lift the lid off the milk frother
P01_R01|Session2|34,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-35,put containers,put down milk bottle,leave,71.0,71.2,0.2,0.2327,2,lift lid,open milk bottle,0.5,3,1,Put the lid on the counter top.
P01_R01|Session2|35,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-36,open containers,open milk bottle,access,71.7,73.0,1.3,0.2345,2,put down milk bottle,pour milk,0.5,3,1,"Open the milk bottle, holding the bottle with the left hand and the lid with the right hand and rotating the lid counterclockwise."
P01_R01|Session2|36,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-37,pour dairy and eggs,pour milk,merge,73.5,76.6,3.1,0.2395,2,open milk bottle,close lid,0.1,2,1,"pour some milk from the bottle into the milk frother, by holding the milk on top of the milk frother and tilting it. The milk frother is sitting on the countertop."
P01_R01|Session2|37,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-38,close containers,close lid,block,76.7,77.9,1.2,0.2481,2,pour milk,press button,0.3,2,1,close the milk bottle by putting the lid with the right hand and rotating it clockwise
P01_R01|Session2|38,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-39,press appliances,press button,manipulate,78.2,79.0,0.8,0.2522,2,close lid,press button,0.5,2,1,press the button on the milk frother to start it
P01_R01|Session2|39,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-40,press appliances,press button,manipulate,79.5,80.1,0.6,0.2557,2,press button,open fridge,2.7,2,1,press the button on the coffee machine to start brewing the coffee
P01_R01|Session2|40,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-41,open appliances,open fridge,access,82.8,83.8,1.0,0.2648,2,press button,put down milk bottle,0.3,3,1,Open the fridge.
P01_R01|Session2|41,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-42,put containers,put down milk bottle,leave,84.1,84.7,0.6,0.2682,2,open fridge,close fridge,0.1,3,1,"Put the milk bottle in the door of the fridge, in the lower shelf, using the left hand."
P01_R01|Session2|42,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-43,close appliances,close fridge,block,84.8,86.2,1.4,0.2701,2,put down milk bottle,open milk bottle,2.3,3,1,Close the fridge.
P01_R01|Session2|43,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-44,open containers,open milk bottle,access,88.5,89.5,1.0,0.2801,2,close fridge,one-off,0.3,3,1,Open the box of wooden stirrers.
P01_R01|Session2|44,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-45,,,retrieve,89.8,90.4,0.6,0.2836,2,open milk bottle,press button,16.7,1,0,Pick a wooden stirrer from the box.
P01_R01|Session2|45,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-46,press appliances,press button,manipulate,107.1,108.4,1.3,0.3306,2,one-off,pick up mug,0.6,2,1,Press the button on the coffee machine to stop brewing coffee.
P01_R01|Session2|46,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-47,take crockery,pick up mug,retrieve,109.0,113.5,4.5,0.5078,4,press button,pick up milk frother,0.4,3,1,"Pick up the mug from under the nozzle of the coffee machine. Once the mug is removed, the shelf is dropped automatically."
P01_R01|Session2|47,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-48,take dairy and eggs,pick up milk frother,retrieve,113.9,114.6,0.7,0.5489,4,pick up mug,pour milk,0.6,3,1,"Pick up the milk frother from its space. Once it's removed from its space, the light goes off, so the milk frothing stops."
P01_R01|Session2|48,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-49,pour dairy and eggs,pour milk,merge,115.2,127.8,12.6,0.5598,4,pick up milk frother,put down milk frother,2.8,2,1,Pour milk from the milk frother into the mug. The mug is being held with the left hand and the milk frother is with the right hand. Tilting the milk frother to pour milk into the mug.
P01_R01|Session2|49,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-50,put dairy and eggs,put down milk frother,leave,130.6,131.0,0.4,0.6882,5,pour milk,open fridge,0.2,2,1,put the milk frother under the nozzle of the tap
P01_R01|Session2|50,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-51,open appliances,open fridge,access,131.2,131.5,0.3,0.6923,5,put down milk frother,wash milk frother,0.3,3,1,Open the tap.
P01_R01|Session2|51,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-52,wash dairy and eggs,wash milk frother,clean,131.8,134.1,2.3,0.6966,5,open fridge,one-off,0.2,2,1,Rinse the milk frother.
P01_R01|Session2|52,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-53,,,retrieve,134.3,135.1,0.8,0.716,5,wash milk frother,put down mug,0.4,1,0,Remove the center piece inside the milk frother.
P01_R01|Session2|53,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-54,put crockery,put down mug,leave,135.5,135.7,0.2,0.7249,5,one-off,one-off,0.4,3,1,Put the piece on the counter top.
P01_R01|Session2|54,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-55,,,retrieve,136.1,136.6,0.5,0.729,5,put down mug,wash milk frother,0.0,1,0,pick up the sponge
P01_R01|Session2|55,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-56,wash dairy and eggs,wash milk frother,clean,136.6,138.2,1.6,0.7331,5,one-off,one-off,0.5,2,1,lather the inside of the milk frother using the sponge by inserting the sponge inside the milk frother.
P01_R01|Session2|56,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-57,,,leave,138.7,138.9,0.2,0.7483,5,wash milk frother,wash milk frother,-0.1,1,0,Put the sponge back on the countertop.
P01_R01|Session2|57,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-58,wash dairy and eggs,wash milk frother,clean,138.8,140.8,2.0,0.7498,5,one-off,close fridge,-0.1,2,1,Rinse the milk frother. This action is somehow off screen.
P01_R01|Session2|58,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-59,close appliances,close fridge,block,140.7,141.0,0.3,0.7638,5,wash milk frother,one-off,0.5,3,1,close the tap
P01_R01|Session2|59,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-60,,,retrieve,141.5,142.0,0.5,0.77,5,close fridge,one-off,0.2,1,0,Pick the center piece from the counter top.
P01_R01|Session2|60,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-61,,,leave,142.2,142.6,0.4,0.7749,5,one-off,put down milk frother,2.2,1,0,"put the center piece back inside the milk frother by inserting the hand into the milk frother, putting the piece in."
P01_R01|Session2|61,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-62,put dairy and eggs,put down milk frother,leave,144.8,145.3,0.5,0.7941,5,one-off,pick up mug,0.5,2,1,put the milk frother on its base.
P01_R01|Session2|62,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-63,take crockery,pick up mug,retrieve,145.8,146.3,0.5,0.8019,5,put down milk frother,stir coffee,-0.2,3,1,pick up the mug
P01_R01|Session2|63,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-64,mix drinks,stir coffee,merge,146.1,149.7,3.6,0.8043,5,pick up mug,one-off,0.0,3,1,Stir the coffee using the wooden stirrer. The wooden stirrer is in the right hand and the mug is being held with the left hand while moving. The milk stirrer will mix the milk with the coffee thoroughly in circular motions counterclockwise.
P01_R01|Session2|64,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-65,,,retrieve,149.7,150.6,0.9,0.8308,5,stir coffee,one-off,0.1,1,0,Lift the wooden stirrers out of the mug and shake it to drop any liquid on it.
P01_R01|Session2|65,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-66,,,access,150.7,151.0,0.3,0.8736,6,one-off,throw away stirrer,0.2,1,0,open the trash bin
P01_R01|Session2|66,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-67,throw cutlery,throw away stirrer,leave,151.2,151.8,0.6,0.9002,6,one-off,close bin,0.2,3,1,Throw the wooden stirrer.
P01_R01|Session2|67,P01_R01,Session 2,P01-20240203-093333,P01-20240203-093333-68,close rubbish,close bin,block,152.0,152.9,0.9,0.9484,6,throw away stirrer,,,3,1,close the trash bin
P01_R01|Session3|0,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-1,open appliances,open fridge,access,6.6,7.8,1.2,0.0436,1,,pick up milk bottle,0.1,3,1,open the fridge
P01_R01|Session3|1,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-2,take containers,pick up milk bottle,retrieve,7.9,8.3,0.4,0.0521,1,open fridge,close fridge,0.3,3,1,pick up the milk bottle from the lower shelf of the door of the fridge by holding it with the left hand from its handle
P01_R01|Session3|2,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-3,close appliances,close fridge,block,8.6,10.2,1.6,0.0566,1,pick up milk bottle,put down milk bottle,0.5,3,1,close the fridge
P01_R01|Session3|3,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-4,put containers,put down milk bottle,leave,10.7,11.2,0.5,0.0703,1,close fridge,pick up mug,2.2,3,1,put down the bottle on the counter top next to the hob
P01_R01|Session3|4,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-5,take crockery,pick up mug,retrieve,13.4,14.0,0.6,0.0882,1,put down milk bottle,one-off,2.9,3,1,pick up a mug from the drainer
