item_id,recipe,hidden_label,model_goal,model_command,model_coherent,proposed,confidence,n_actions,session,synthetic,actions,level
I026,P05_R02,retrieve(appliances),measure ingredients using a scale and bowl,measure ingredients with scale and bowl,yes,MATCH_HEAD,low,8,2,True,take(bowl) | put(bowl) | open(drawer) | take(scale) | close(drawer) | put(scale) | put(bowl) | turn-off(scale),episode
I027,P05_R02,take(crockery),get a glass and plate,fetch a glass and a plate,yes,MATCH_HEAD,low,7,2,True,open(drawer) | take(glass) | open(drawer) | take(plate) | close(drawer) | move(plate) | turn-off(scale),episode
I028,P01_R01,turn(crockery),organize kitchen items,clear the counter,no,NOT_COHERENT,medium,4,1,False,take(cup) | put(pot) | turn(cup) | put(cup),episode
I029,P05_R02,top with fruit nuts,prepare a mixed snack,none,no,NOT_COHERENT,medium,35,2,False,lift(plate) | take(spoon) | eat(spoon) | turn-on(scale) | scrape(banana) | put(spoon) | take(package) | pour(raisin) | shake(bag) | fold(bag) | put(bag) | take(package) | remove(rubber) | open(package) | cut(hand) | pour(raisin) | wrap(rubber) | put(rest) | put(raisin) | take(nut) | press(scale) | pour(corn) | squeeze(package) | pull(food) | shake(corn) | put(nut) | turn-off(scale) | take(spoon) | put(bowl) | take(scale) | open(drawer) | put(scale) | close(drawer) | close(cupboard) | take(plate),step
I030,P01_R01,stir,prepare coffee and wash dishes,NOT_COHERENT,no,OTHER_MEMBER,medium,16,1,False,put(milk) | open(tap) | wash(milk) | remove(top) | put(plate) | take(sponge) | wash(milk) | put(sponge) | wash(milk) | close(tap) | take(top) | put(top) | put(milk) | take(cup) | mix(coffee) | lift(colander),step
I031,P03_R03,pull(storage),organize kitchen items,clear the counter and store items in the cupboard,no,NOT_COHERENT,medium,8,1,False,pull(cupboard) | put(knife) | pull(cupboard) | put(kettle) | take(kettle) | lift(kettle) | take(toaster) | pull(cupboard),episode
I032,P01_R01,shake(cutlery),rest a spoon,rest spoon,yes,MATCH_HEAD,low,2,0,False,take(rest) | shake(spoon),episode
I033,P03_R03,pour(drinks),wash dishes and make tea,NOT_COHERENT,no,NOT_COHERENT,medium,6,0,False,lift(kettle) | put(kettle) | take(cup) | take(sponge) | turn-on(tap) | pour(water),episode
I034,P03_R03,shake(appliances),make coffee,make_coffee,yes,MATCH_HEAD,low,5,2,False,turn-on(kettle) | take(maker:coffee) | shake(maker:coffee) | put(maker:coffee) | throw(cloth),episode
I035,P03_R03,pour(drinks),dry hands and pour water,dry hands and pour water,no,MATCH_HEAD,high,8,3,False,move(cloth) | shake(hand) | take(cloth) | dry(hand) | take(kettle) | pour(water) | put(kettle) | dry(hand),episode
I036,P05_R02,pour(dairy and eggs),pour milk,pour milk from the bottle,yes,MATCH_HEAD,high,4,2,False,open(cupboard) | take(milk) | unscrew(top) | pour(milk),episode
I037,P03_R03,press(storage),attach toaster to cupboard,attach toaster to cupboard,yes,OTHER_MEMBER,medium,4,1,False,press(cupboard) | put(toaster) | take(toaster) | attach(toaster),episode
I038,P01_R01,,make coffee,make_coffee(),yes,UNSURE,low,6,0,False,stretch(hand) | take(cup) | turn(cup) | close(cupboard) | flip(maker:coffee) | put(cup),full
I039,P05_R02,cut(fruits and nuts),slice a banana and wash hands,slice the banana and wash hands,yes,OTHER_MEMBER,medium,5,2,False,take(banana) | cut(banana) | put(knife) | turn-on(tap) | wash(hand),episode
I040,P01_R01,,make coffee or tea,make_beverage(),yes,UNSURE,low,6,1,False,press(button) | take(cup) | take(milk) | pour(milk) | put(milk) | open(tap),full
I041,P01_R01,press(appliances),operate a shelf or appliance,press the button on the shelf,yes,UNSURE,low,2,1,False,lift(shelf) | press(button),episode
I042,P03_R03,pull(containers),open a packaged bag,open the package and pull the bag,yes,OTHER_MEMBER,medium,2,0,False,open(package) | pull(bag),episode
I043,P03_R03,manipulate(crockery),cup placement,place cup on surface,yes,UNSURE,low,4,0,False,flip(cup) | turn-off(tap) | drop(cup) | put(cup),episode
I044,P03_R03,,get a spoon and open a bag,fetch spoon and open bag,no,OTHER_MEMBER,medium,6,2,False,press(bag) | close(cupboard) | open(cupboard) | take(spoon) | close(cupboard) | remove(clip),full
I045,P03_R03,fill(appliances),fill the kettle with water,fill kettle with water,yes,MATCH_HEAD,high,5,3,False,open(kettle) | check(water) | turn-on(tap) | fill(kettle) | turn-off(tap),episode
I046,P03_R03,wash(cutlery),wash a spoon,wash spoon,yes,MATCH_HEAD,high,6,1,False,take(jug) | take(bowl) | take(spoon) | turn-on(tap) | wash(spoon) | turn-off(tap),episode
I047,P03_R03,squeeze(cleaning equipment and material),wipe down the counter,wring out the cloth and put it away,yes,UNSURE,low,3,3,False,squeeze(cloth) | turn-off(tap) | drop(cloth),episode
I048,P01_R01,,throw away a can,dispose of the can in the bin,yes,OTHER_MEMBER,medium,6,1,False,look(can) | look(alarm) | close(fridge) | open(bin) | throw(can) | close(bin),full
I049,P01_R01,manipulate(dairy and eggs),make coffee or tea,pour milk into cup and stir,no,NOT_COHERENT,medium,5,2,False,turn(milk) | put(milk) | dry(hand) | hold(cup) | hold(spoon),episode
I050,P05_R02,shake(baked goods and grains),eat oatmeal from a cup or bowl,feed user oatmeal,yes,OTHER_MEMBER,medium,4,2,False,shake(oatmeal) | eat(spoon) | put(spoon) | close(cupboard),episode
I051,P05_R02,manipulate(appliances),get baking tools,take(bowl),no,NOT_COHERENT,medium,8,1,False,take(bowl) | take(scale) | open(drawer) | close(cupboard) | finish(alarm) | take(knife) | put(knife) | take(spoon),episode
I052,P01_R01,turn(crockery),inspect a cup and milk,inspect cup and milk,no,NOT_COHERENT,medium,2,0,False,turn(cup) | pat(milk),episode
I053,P05_R02,stir reheat,prepare oatmeal,prepare oatmeal,yes,UNSURE,low,21,0,False,turn-on(tap) | wash(hand) | turn-off(tap) | dry(hand) | open(drawer) | take(spoon) | close(drawer) | open(microwave) | take(bowl) | put(bowl) | mix(oatmeal) | shake(oatmeal) | put(spoon) | close(cupboard) | take(spoon) | mix(oatmeal) | pat(spoon) | put(oatmeal) | close(cupboard) | press(button) | put(spoon),step
I054,P01_R01,,grab a vegetable and a roll,get roll and vegetable,no,NOT_COHERENT,medium,6,0,False,take(roll) | feel(roll) | pull(bag) | put(vegetable) | close(drawer) | pull(bag),full
I055,P03_R03,pour(drinks),Pour coffee from a box,pour(coffee),yes,MATCH_HEAD,medium,2,3,False,take(box) | pour(coffee),episode
I056,P01_R01,press(appliances),make coffee,make_coffee(),yes,UNSURE,low,2,0,False,take(coffee) | press(button),episode
I057,P03_R03,pull(appliances),dry hands and make coffee,dry hands with cloth and turn on coffee maker,yes,OTHER_MEMBER,medium,3,2,False,take(cloth) | dry(hand) | pull(maker:coffee),episode
I058,P03_R03,dry(hand),wash and dry hands,wash_and_dry_hands(),yes,MATCH_HEAD,medium,5,0,True,turn-on(tap) | wash(hand) | shake(hand) | dry(hand) | close(cupboard),episode
I059,P05_R02,top with fruit nuts,prepare a snack and clean up,none,no,NOT_COHERENT,medium,46,1,False,put(glass) | take(package) | move(package) | take(plate) | take(plate) | put(plate) | put(plate) | take(banana) | put(banana) | open(drawer) | take(knife) | close(cupboard) | screw(banana) | cut(rest) | flip(banana) | pull(banana) | peel(skin) | put(banana) | take(skin) | take(skin) | move(skin) | put(banana) | put(lid) | take(banana) | take(banana) | open(bin) | throw(banana) | cut(banana) | put(knife) | turn-on(tap) | wash(hand) | turn-off(tap) | shake(water) | dry(hand) | take(bottle) | take(lid) | shake(bottle) | put(bottle) | take(cup) | put(cup) | take(glass) | move(glass) | take(heat) | shake(water) | take(lid) | screw(lid),step
I060,P01_R01,block(appliances),make coffee,make coffee,no,NOT_COHERENT,medium,14,2,True,open(fridge) | take(bottle) | close(fridge) | put(bottle) | put(cup) | take(cup) | lift(maker:coffee) | turn-on(machine:washing) | move(milk) | open(box) | take(coffee) | close(box) | put(coffee) | lock(coffee),episode
I061,P03_R03,,get a jar and plate from cupboard,retrieve a jar and a plate from the cupboard,yes,UNSURE,low,6,1,False,close(bin) | pull(cupboard) | take(jar) | put(jar) | take(plate) | pull(cupboard),full
I062,P01_R01,stir,make coffee with milk,make_coffee(),yes,UNSURE,low,9,2,False,close(tap) | turn(milk) | put(milk) | dry(hand) | hold(cup) | hold(spoon) | take(cup) | mix(coffee) | shake(spoon),step
I063,P05_R02,shake(baked goods and grains),prepare and eat oatmeal,prepare_and_eat_oatmeal,no,OTHER_MEMBER,medium,7,2,False,shake(oatmeal) | put(bowl) | take(bowl) | shake(oatmeal) | eat(spoon) | put(spoon) | close(cupboard),episode
I064,P03_R03,access(materials),make coffee and store food,prepare coffee and store leftover wrap,no,NOT_COHERENT,medium,8,2,True,lift(filter) | move(jug) | take(cloth) | open(fridge) | take(wrap) | close(fridge) | unwrap(wrap:plastic) | put(plate),episode
I065,P05_R02,drink(drinks),drink water,fetch water and drink,yes,MATCH_HEAD,high,3,1,True,take(glass) | drink(water) | put(glass),episode
I066,P01_R01,,get cereal for breakfast,fetch cereal from the fridge and pantry,yes,UNSURE,low,6,2,False,put(bottle) | close(fridge) | take(box) | open(box) | press(button) | take(cereal),full
I067,P05_R02,stir reheat,prepare and eat oatmeal,prepare and eat oatmeal,no,OTHER_MEMBER,medium,13,2,False,open(cupboard) | take(bowl) | put(bowl) | mix(oatmeal) | shake(oatmeal) | eat(spoon) | put(spoon) | close(cupboard) | take(spoon) | mix(oatmeal) | take(bowl) | put(bowl) | turn-on(scale),step
I068,P01_R01,stir,stir coffee,stir coffee with a spoon,yes,UNSURE,low,6,0,False,lift(lid) | move(spoon) | mix(coffee) | mix(coffee) | take(rest) | shake(spoon),step
I069,P05_R02,,prepare oatmeal,make_oatmeal(),yes,UNSURE,low,6,0,False,take(bowl) | put(bowl) | mix(oatmeal) | shake(oatmeal) | put(spoon) | close(cupboard),full
I070,P03_R03,,manage dishes and oven,no_action,no,NOT_COHERENT,medium,6,1,False,take(plate) | open(oven) | pull(cupboard) | put(plate) | close(oven) | open(cupboard),full
I071,P05_R02,cut(fruits and nuts),Prepare a banana and clean up,none,no,NOT_COHERENT,medium,10,0,False,take(lid) | put(banana) | cut(banana) | put(knife) | turn-off(tap) | turn-on(tap) | wash(hand) | dry(hand) | open(drawer) | close(drawer),episode
I072,P03_R03,press(appliances),make coffee,make coffee,no,NOT_COHERENT,medium,4,2,False,take(lid) | press(maker:coffee) | press(button) | close(bag),episode
I073,P05_R02,,throw away rubbish and put away a bowl,throw(rubbish),no,OTHER_MEMBER,medium,6,2,False,throw(rubbish) | take(rubbish) | open(bin) | throw(rubbish) | open(drawer) | put(bowl),full
I074,P03_R03,let coffee drip,boil water multiple times,boil water in the kettle,yes,UNSURE,low,10,2,False,wrap(clothes) | take(kettle) | pour(water) | put(kettle) | lift(kettle) | pour(water) | put(kettle) | take(kettle) | pour(water) | put(kettle),step
I075,P03_R03,block(containers),Make coffee,make_coffee,no,NOT_COHERENT,medium,3,1,True,scoop(coffee) | pat(spoon) | wrap(bag),episode
I076,P03_R03,,dry hands and store spoon,dry hands and put spoon in cupboard,no,OTHER_MEMBER,medium,6,0,False,put(cloth) | dry(hand) | hang(cloth) | take(spoon) | open(cupboard) | put(spoon),full
I077,P05_R02,take(containers),make oatmeal,make oatmeal,no,NOT_COHERENT,medium,8,0,True,move(oatmeal) | take(package) | put(nut) | take(package) | put(package) | look(microwave) | open(cupboard) | put(oatmeal),episode
I078,P03_R03,fill v60 filter,brew coffee and clean filter,clean the coffee filter and make coffee,yes,MATCH_HEAD,low,7,2,False,take(maker:coffee) | put(jug) | put(maker:coffee) | close(cupboard) | take(maker:coffee) | turn-on(tap) | wash(filter),step
I079,P01_R01,,retrieve a spoon and bottle,get bottle and spoon,no,NOT_COHERENT,medium,6,1,False,press(button) | open(fridge) | put(bottle) | close(fridge) | open(box) | take(spoon),full
I080,P01_R01,wash(dairy and eggs),wash milk carton,wash milk,yes,MATCH_HEAD,high,3,2,False,open(tap) | wash(milk) | close(tap),episode
I081,P01_R01,load coffee capsule,make coffee,make_coffee(),yes,UNSURE,low,7,0,False,stretch(hand) | take(cup) | turn(cup) | close(cupboard) | flip(maker:coffee) | put(cup) | take(coffee),step
I082,P05_R02,mix(baked goods and grains),prepare and store oatmeal,mix oatmeal with a spoon and put it in the cupboard,yes,MATCH_HEAD,low,5,0,False,take(spoon) | mix(oatmeal) | pat(spoon) | put(oatmeal) | close(cupboard),episode
I083,P01_R01,mix(drinks),make coffee,make(coffee),yes,MATCH_HEAD,low,2,2,False,take(cup) | mix(coffee),episode
I084,P05_R02,,drink water and weigh a plate,NOT_COHERENT,no,OTHER_MEMBER,medium,6,0,False,take(glass) | drink(water) | put(glass) | take(plate) | put(plate) | turn-on(scale),full
I085,P01_R01,wash(dairy and eggs),wash a milk container,wash milk container,yes,MATCH_HEAD,high,11,1,False,open(tap) | wash(milk) | put(plate) | remove(top) | take(sponge) | wash(milk) | put(sponge) | wash(milk) | close(tap) | put(top) | put(milk),episode
I086,P03_R03,fill v60 filter,make coffee and clean up,make_coffee,no,NOT_COHERENT,medium,25,3,False,drop(cloth) | take(noun_) | turn-off(maker:coffee) | open(bin) | throw(rubbish) | close(bin) | move(jug) | take(hand) | move(jug) | pull(maker:coffee) | take(box) | pour(coffee) | shake(box) | remove(lid) | pat(box) | pat(box) | put(lid) | put(box) | shake(maker:coffee) | lift(maker:coffee) | lower(maker:coffee) | take(jug) | slide(jug) | put(maker:coffee) | take(kettle),step
I087,P05_R02,pour(fruits and nuts),measure and put away nuts,measure nuts and store them away,yes,OTHER_MEMBER,medium,6,1,False,pour(nut) | put(nut) | turn-off(scale) | put(bowl) | put(scale) | close(drawer),episode
I088,P05_R02,set(appliances),weigh a nut,weigh the nut on the scale,yes,UNSURE,low,2,1,False,take(nut) | set(scale),episode
I089,P01_R01,turn(containers),make juice,make juice,no,NOT_COHERENT,medium,32,0,False,turn(lid) | put(lid) | close(cupboard) | open(cupboard) | move(package) | take(juicer) | move(box) | slide(cupboard) | press(cupboard) | put(juicer) | turn(juicer) | lift(cream) | turn(knob) | switch(button) | turn(food) | turn(knob) | take(orange) | put(orange) | open(drawer) | take(vegetable) | take(roll) | feel(roll) | pull(bag) | put(vegetable) | close(drawer) | pull(bag) | shake(bag) | put(bag) | close(lid) | open(lid) | press(top) | hold(kettle),episode
I090,P03_R03,fill v60 filter,make coffee,make_coffee(),yes,MATCH_HEAD,low,4,1,False,take(coffee) | lift(coffee) | close(cupboard) | pour(bag),step
I091,P03_R03,,make coffee and get bread,none,no,NOT_COHERENT,medium,6,2,False,take(maker:coffee) | take(jug) | sort(maker:coffee) | open(fridge) | take(bread) | close(fridge),full
I092,P01_R01,turn(containers),clean up kitchen items,clear the counter,no,NOT_COHERENT,medium,12,1,False,take(coffee) | open(drawer) | open(fridge) | take(bottle) | take(can) | turn(can) | look(can) | look(alarm) | close(fridge) | throw(can) | close(bin) | put(lid),episode
I093,P05_R02,shake(drinks),preparing cooking setup,NOT_COHERENT,no,NOT_COHERENT,medium,15,2,False,take(plate) | take(plate) | take(board:chopping) | shake(water) | put(board:chopping) | close(drawer) | open(drawer) | dry(hand) | take(knife) | take(knife) | open(drawer) | put(knife) | close(drawer) | close(cupboard) | close(drawer),episode
I094,P05_R02,pour(dairy and eggs),pour milk,pour milk from fridge,yes,MATCH_HEAD,high,4,1,False,open(fridge) | take(milk) | unscrew(top) | pour(milk),episode
I095,P01_R01,load coffee capsule,dispense coffee from a machine,dispense_coffee(),yes,UNSURE,low,3,0,False,lift(handle) | slide(coffee) | pull(handle),step
I096,P03_R03,reach(containers),make a sandwich,make a sandwich,yes,UNSURE,low,3,0,False,reach(bag) | put(bread) | insert(bread),episode
